QID,LEN,Description or Summary,Start date,End date,Institutions/Partners,Affiliate/Organization,Region,Country,Main focal point,Main Activities,Wikimedia Projects Used,Audience,Level of Education,SDG4 Areas,Subject,Skills addressed,Funding,Evaluation,Case Study,Newsletter articles,Other documentation,Media,Number of pages created,Number of bytes added,Number of participants,Number of Influenced Policies
,Education Conference for teachers,One day conference for teachers in the North Macedonia is a project where we tech the teachers on how to edit and use Wikipedia in the classroom,April 2017,ongoing,No,GLAM Macedonia,Eastern Europe,North Macedonia,Zana Shtrkovska,editing training,Wikipedia ,Students,Higher Education,Mother Language,"Science, Literature, Art, History, Geography, Sport","digital literacy, writing, language",WMF,No,https://meta.wikimedia.org/wiki/Grants:Project/Rapid/UG_GLAM_Macedonia/Wiki_conference_for_teachers_in_October/Report,https://outreach.wikimedia.org/wiki/Education/News/October_2017/Hundred_teachers_trained_in_the_Republic_of_Macedonia,,http://www.publicitet.mk/component/k2/item/8922-se-odrzha-viki-konferencija-za-nastavnici-organizator-beshe-glam-makedonija (one of the many),not counted,not counted,more than 150,
,Wiki Camp Macedonia ,"Three days gathering of young Wikipdians, members of Wiki Clubs",December 2017,ongoing,No,GLAM Macedonia,Eastern Europe,North Macedonia,Zana Shtrkovska,editing training,Wikipedia,Students,Secondary and Higher Education,Mother language,"Science, Literature, Art, History, Geography, Sport","digital literacy, writing, language",WMF,No,https://meta.wikimedia.org/wiki/Grants:Conference/UG_GLAM_Macedonia/Wiki_Camp_for_students/Report,https://outreach.wikimedia.org/wiki/Education/News/May_2019/Meet_Germany,,https://www.kulart.mk/featured/vikipedija-na-makedonski-jazik-se-zbogati-so-nad-500-novi-statii-na-germanski-temi/ (one of the many),"more than 1,100",not counted,more than 150,
,Community Service with Wikipedia ,Improving information on Wikipedia about specific topics (i.e. class topics or social topics) to strenghten the presence of Ecuador in Wikimedia projects as community service.,11/1/2016,,Pontificia Universidad Católica de Ecuador,Wikimedistas de Ecuador,South America,Ecuador,Edgar Rosero Villacís,"Editor Training, Teacher Training, Partnerships","Wikipedia, Wikimedia Commons.","Students, Teachers, Wikimedians",Higher Education,"Gender, OERs","Literature, Art, History, Women","collaboration, communication, writing, information literacy, research, language",Funds from Pontificia Universidad Católica de Ecuador,https://issuu.com/freddycoello/docs/buenas_practicas_de_vinculacion_201,No,https://outreach.wikimedia.org/wiki/Education/News/January_2019/More_than_a_hundred_students_gathered_in_Ecuador_to_edit_Wikipedia,https://www.eltelegrafo.com.ec/noticias/cultura/10/wikipedia-editatona-puce,,,,,
,WikiTeach in Cameroon,"Learn, teach through Wikipedia/Wikimedia.
Training teachers on our approach.
Facilitate students/teachers to access the informations.",9/22/2018,8/27/2022,"High schools, universities in far north of Cameroon for the first step.",Wikimedians Cameroon User Group,Middle Africa,Cameroon,BILE RENE,"WikiClub, Editor Training, Teacher Training, Research, Translation, Photo expeditions","WikiLovesAfrica, WikiLovesEarth, WikiLovesWomen","Students, Teachers, Wikimedians, Policy makers, Government","Secondary (Middle or High School), Higher Education","Education policy, Inclusion","Math, Science, Literature, Art, Photography, History, Language, Computer science","collaboration, digital literacy, communication, information literacy, creativity, research, language",None,no,no,no,no,,,,,
,Wikipedia Education Program in Biratnagar,"Organizing two events for different institutes where students and faculties will be will teach the basics of Wikipedia like reading, creating an account, editing and make the participants familiar with Wikimedia, in the context of Wikipedia Education Program",5/1/2019,9/1/2019,Merryland College Biratnagar,n/a,Southern Asia,Nepal,Sandeep Raut and Tulsi Bhagat,"Editor Training, Teacher Training",Wikipedia,"Students, Teachers, Wikimedians",Higher Education,Mother language,"Literature, History","collaboration, digital literacy, communication, writing, information literacy, creativity, language",Wikimedia Foundation,not yet <https://meta.wikimedia.org/wiki/Grants:Project/Rapid/Sandeep_Raut/Wikipedia_Education_Program_in_Biratnagar/Report>,not yet,Nope,Not yet,,,,,
,Wikipedia in Mathematics - AUTH,Involve students to improve and create Wikipedia articles on mathematics,11/1/2011,,"School of Mathematics, Aristotle University of Thessaloniki",Wikimedia Community User Group Greece,Southern Europe,Greece,Konstantinos Stampoulis (User:Geraki),"Editor Training, Translation",Wikipedia,Students,Higher Education,,Math,"collaboration, digital literacy, writing, information literacy, research, language",None,https://el.wikipedia.org/wiki/%CE%92%CE%B9%CE%BA%CE%B9%CF%80%CE%B1%CE%AF%CE%B4%CE%B5%CE%B9%CE%B1:%CE%A0%CE%B1%CE%BD%CE%B5%CF%80%CE%B9%CF%83%CF%84%CE%B7%CE%BC%CE%B9%CE%B1%CE%BA%CE%AC_%CE%95%CE%B3%CF%87%CE%B5%CE%B9%CF%81%CE%AE%CE%BC%CE%B1%CF%84%CE%B1/%CE%91%CE%A0%CE%98_%CE%9C%CE%B1%CE%B8%CE%B7%CE%BC%CE%B1%CF%84%CE%B9%CE%BA%CF%8C/2013,there is a paper somewhere,,,,,,,
,Wikipedia in Medicine,Involve students to improve and create Wikipedia articles on medicine,2/1/2012,,"School of Medicine, Aristotle University of Thessaloniki",Wikimedia Community User Group Greece,Southern Europe,Greece,Konstantinos Stampoulis,"Editor Training, Translation",Wikipedia,Students,Higher Education,Mother language,Medicine,"collaboration, digital literacy, writing, information literacy, language",None,,,,,,,,,
,Wikipedia translation ,assign translator students in a postgraduate course to translate Wikipedia articles from Italian to Greek. train them in using the translation tool and other tools,10/1/2014,6/30/2017,"School of Italian Language and Literature, Aristotle University of Thessaloniki",Wikimedia Community User Group Greece,Southern Europe,Greece,Konstantinos Stampoulis,"Editor Training, Teacher Training, Translation",Wikipedia,"Students, Teachers, Professional translators",Higher Education,,"Literature, Language","digital literacy, information literacy, creativity, language",None,,,https://outreach.wikimedia.org/wiki/Education/Newsletter/October_2014/Greek_university_giving_credit_for_translation_of_Wikipedia_articles,,,,,,
,Corfupedia,"Introduce students to Wikipedia, via creating new articles about the local history of the island of Corfu",11/23/2016,5/31/2017,Ionian University and 10 high schools,Wikimedia Community User Group Greece,Southern Europe,Greece,Marios Magioladitis,"Editor Training, Teacher Training, WikiCamp, Digitization, Partnerships, Photo expeditions","Wikipedia, Commons","Students, Teachers","Secondary (Middle or High School), Higher Education",,"Photography, History","collaboration, digital literacy, communication, global citizenship, writing, creativity, research, language",Wikimedia Foundation,https://meta.wikimedia.org/wiki/Grants:Project/Rapid/UG_GR/Corfupedia/Report,https://www.academia.edu/34921017/Corfupedia_-_%CE%93%CF%81%CE%AC%CF%86%CE%BF%CE%BD%CF%84%CE%B1%CF%82_%CE%B3%CE%B9%CE%B1_%CF%84%CE%B7%CE%BD_%CF%84%CE%BF%CF%80%CE%B9%CE%BA%CE%AE_%CE%B9%CF%83%CF%84%CE%BF%CF%81%CE%AF%CE%B1_%CF%84%CE%B7%CF%82_%CE%9A%CE%AD%CF%81%CE%BA%CF%85%CF%81%CE%B1%CF%82,https://outreach.wikimedia.org/wiki/Education/News/December_2017/Corfupedia_records_local_history_and_inspires_similar_projects,https://www.corfuland.gr/el/diafora/kerkyra/corfupedia-mathitiko-project-tis-wikipedia-einai-gegonos.html,,,,,
,Educational project of Wikimedia México,This project seeks to bring the school community closer to Wikipedia and the work of the Wikimedia Foundation through workshops and edit-a-thons.,6/1/2013,12/15/2018,Universidad Nacional Autónoma de México | Benemérita Universidad Autónoma de Puebla | Universidad Autónoma de Aguascalientes | Universidad Veracruzana | Instituto Tecnológico Autónomo de México, Wikimedia México,North America,México,Iván Martínez ,"Editor Training, Teacher Training, Research",Wikipedia,"Students, Teachers","Higher Education, Vocational","Mother language, Education policy","Science, Literature, Art, History","collaboration, digital literacy, communication, writing, critical thinking, research",None,No,No,No,https://meta.wikimedia.org/wiki/Programa_educativo_de_Wikimedia_M%C3%A9xico,,,,,
,Wikipedia en Aymara,"Along with some aymara speakers from the Jaqui Aru community, we worked on learning how to edit Wikipedia at UPEA (El Alto Public University) with the help of the Linguistics Faculty. https://commons.wikimedia.org/wiki/File:WMBO_Taller_UPEA_2012_5.JPG",7/11/2011,8/11/2011,Jaqui-Aru - Linguistics Department,Wikimedistas de Bolivia,South America,Bolivia,We wanted to get Aymara speakers to edit Aymara Wikipedia,Editor Training,ay.wikipedia.org,aymara activists,Higher Education,"Mother language, Inclusion",A variety of subjects according to the students' choice.,"digital literacy, writing",None,no,no,no,https://blog.wikimedia.org/2012/04/06/preserving-aymara-language-and-culture-on-wikipedia/,,,,,
,"Wikipedia Student Program, US and Canada",Support college and university instructors who use Wikipedia as a teaching tool in their classrooms.,6/1/2010,,More than 400 universities,Wiki Education Foundation,North America,US and Canada,LiAnna Davis,"Editor Training, Teacher Training, Partnerships","Wikipedia mostly, some Commons & Wikidata","Students, Teachers, Librarians",Higher Education,"Gender, OERs","Math, Science, Literature, Art, Photography, History, Language","collaboration, digital literacy, communication, global citizenship, writing, critical thinking, information literacy, research, language","Wikimedia Foundation, many grants",,,,,,"89,359","377,639,284",74811,
,Digicomp Skills in UCD,"Working with a lecturer in the School of Information Studies with 2nd year students in the under graduate programme. The module focuses on information retrieval, assessment of sources, writing for Wikipedia, and citations related to historical biographies of Irish people. Since 2017, the students work only on existing stub or poor quality articles rather than creating new.",09/09/2014,,University College Dublin,Wikimedia Community Ireland,Dublin,Republic of Ireland,Rebecca O'Neill,Editor and tutor training,Wikipedia and Wikimedia Commons,students,Higher Education,"Gender, OERs, diversity",History,"Digital literacy, critical thinking, information literact, research, language, team collaboration",Simple APG,,,,https://journals.openedition.org/netcom/3893,,7,"336,581",332,
,Vicipéid editing in DCU,A member of WCI has been using Vicipéid as a teaching tool in the module FN349e for the past 2 years. This is an elective module for any student studying Irish as part of their undergraduate. They learn to edit Vicipéid to then either translate an article into Irish or draft a new one.,21/02/2018,,Dublin City University,Wikimedia Community Ireland,Dublin,Republic of Ireland,Meghan Dowling,Editor training,"Vicipéid, Wikipedia, and Wikimedia Commons",students,Higher Education,"mother tongue, gender, diversity",Language,"Digital literacy, critical thinking, information literacy, research, language",n/a,,,,,,31,"857,349",27,
,Vicipéid editing in Secondary Schools (pilot),"WCI is currently working with a number of partners and educators to create a teaching module for secondary school students in Transition Year (ages approx 15-16) in both Irish and English. Two pilot workshops have been conducted so far, one in English and one in Irish.",17/09/2018,,,Wikimedia Community Ireland,Ireland,Republic of Ireland,Rebecca O'Neill,"Editor Training, Teacher Training, Partnerships","Vicipéid, Wikipedia, and Wikimedia Commons","Students, Teachers, Librarians",Secondary ,"mother tongue, gender, diversity",Language,"Digital literacy, critical thinking, information literacy, research, language",Simple APG,,,,,,1,"5,257",18,
,TY module with National Gallery of Ireland,"Each year, the National Gallery of Ireland take a small group of Transtion Year students (aged approx 15-16) for a week of internship in the Gallery. Since 2018, WCI have collaborated with the Gallery's library to deliver a Wikipedia editing workshop as part of this week. The students work on pages relating to the Gallery and its collections using resources from the library.",04/12/2019,,National Gallery of Ireland,Wikimedia Community Ireland,Dublin,Republic of Ireland,Rebecca O'Neill,Editor training,Wikipedia,students,Secondary ,Diversity,Art,"Digital literacy, critical thinking, information literacy, research, language",Simple APG,,,,,,0,"9,335",17,
,Wikimedia Community Ireland Education Programme,WCI work with a number of partner institutions to incorporate Wikipedia editing into their teaching.,07/11/2014,,"National University of Ireland Galway, University of Limerick, Queens University Belfast, Trinity College Dublin, University College Cork, Dun Laoghaire Institute Of Art Design + Technology",Wikimedia Community Ireland,All Ireland,Republic of Ireland and Northern Ireland,Rebecca O'Neill,"Editor Training, Teacher Training, Librarian Training, Partnerships","Vicipéid, Wikipedia, Wikidata and Wikimedia Commons","Students, Teachers, Librarians",Higher Education,"Gender, OERs, diversity, mother tongue","Math, Science, Literature, Art, Photography, History, Language","Digital literacy, critical thinking, information literacy, research, language",Simple APG,,,,,,84,"658,669",241,
,Maynooth Critical Digital Skills and beyond,"Members of WCI in Maynooth University support the use of Wikipedia editing across a number of schools, focusing on the teaching of critical digital skills.",12/09/2016,,Maynooth University,Wikimedia Community Ireland,"Maynooth, Kildare",Republic of Ireland,Brian McKenzie,"Editor Training, Teacher Training",Wikipedia and Wikimedia Commons,"Students, Teachers, Librarians",Higher Education,"Gender, OERs, diversity","Literature, History, Language. Law","Digital literacy, critical thinking, information literacy, research, language",n/a,,,,https://www.tandfonline.com/doi/abs/10.1080/87567555.2018.1463504,,24,"1,281,232",648,
,Boğaziçi University Department of History,Students of the HIST 338 course were assigned to contribute Turkish wikipedia by creating articles related to Byzainte art and architecture in Istanbul. ,4/10/2017,5/10/2017,Bogazici University Department of History,WMTR,Western Asia,Turkey,Basak,Editor Training,tr.wiki,Students,Higher Education,,"Art, History","digital literacy, writing, language",None,No,No,No,No,,,,,
,TOBB University BILL 448,Students of  TOBB University Computer Engineering Department who take Internet Security Protocols course were assigned to translate some articles on cryptography and security protocols from en.wiki to tr.wiki,4/1/2019,5/1/2019,TOBB University Department of Computer Engineering,WMTR,Western Asia,Turkey,"Basak, Sakhalinio","Editor Training, Translation","en.wiki, tr.wiki",Students,Higher Education,Education policy,Science,"digital literacy, information literacy, language",None,No,No,No,No,,,,,
,Galatasaray University- JOU 404 ,4th grade students of Galatasaray University Faculty of Communication were assigned to create articles on Turkish wikipedia on any subject they are interested in.,12/10/2019,1/15/2020,Galatasary University Department of Communication,WMTR,Western Asia,Turkey,Basak and Sakhainio,Editor Training,"tr.wiki, commons",Students,Higher Education,,"Literature, Art, Photography, History","digital literacy, communication, writing, critical thinking, information literacy, research",None,No,No,No,No,,,,,
,TeWiki (Indic Wiki),"This activity to improve transliteration, mechine learning in Telugu Wikipedia",1/1/2020,,"International Institute for Information Technology ,Hyderabad ",Telugu Wikipedia Community,Southeastern Asia,India,Krupal Kasyap,"WikiClub, Editor Training, Teacher Training, Translation, Partnerships","Telugu Wikipedia, Wiki Data","Students, Teachers, Wikimedians","Secondary (Middle or High School), Higher Education","Mother language, Human Rights","Science, Literature, History, Language","digital literacy, research, language","None, Under process",No,No,No,Yes in local news paper,,,,,
,Wikidata Edit-a-thon,"Students will be asked to add/edit labels, descriptions about their subject matter especially in social science ( History, Geography, Politics and Economics)",1/20/2020,2/20/2020,Indian International School,n/a,Western Asia,United Arab Emirates,Akbarali,"Editor Training, Teacher Training, Translation","Ar.wiki,en.wiki,ml,wiki& wikidata","Students, Teachers",Secondary (Middle or High School),Mother language,"Literature, History, Geography, Politics,Economics","collaboration, digital literacy, critical thinking, information literacy, research",None,No,no,no,https://commons.wikimedia.org/wiki/Commons:Wiki_Loves_Monuments_2018_in_United_Arab_Emirates/Heritage_Walk_in_Ajman,,,,,
,Wikipedia Education Program at An-Najah National University 2017,"The program was in the Engineering College - Surveying course, 21 students participated and translated articles about the course subject.",5/25/2017,7/25/2017,An Najah National University,Wikimedia Levant,Western Asia,Palestine,Mohammad Hijjawi,"Editor Training, Teacher Training, Translation",Wikipedia,"Students, Teachers",Higher Education,Mother language,Surveying,"collaboration, writing, language",None,,,,,,,,,
,Wikipedia Education Program at An Najah National University 2017/2018,"This edition was at Soil Mechanics course - Civil Engineering Dept. - An Najah National University, 31 Students participated, 10 articles created or expanded.",8/25/2017,2/28/2018,An-Najah National University,Wikimedia Levant,Western Asia,Palestine,Mohammad Hijjawi,"Editor Training, Translation",Wikipedia,"Students, Teachers",Higher Education,Mother language,SoIL Mechanics,"collaboration, writing, creativity, language",Wikimedia Foundation,,,,https://sawa.najah.edu/2018/02/01/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7-%D9%84%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A8%D9%86%D8%B3%D8%AE%D8%AA%D9%87-%D8%A7%D9%84%D8%AB%D8%A7/,,,,,
,Wikipedia Educaton Program at Al-Quds University 2017/2018,"This edition was at Al-Quds University, Jerusalem. 12 students participated. 3 articles were expanded/created. 150 photos in commons.",9/25/2017,1/25/2018,Al-Quds University,Wikimedia Levant,Western Asia,Palestine,Mohammad Hijjawi,"Editor Training, Translation, Photo expeditions","Wikimedia Commons, Wikipedia","Students, Teachers",Higher Education,Mother language,History,"collaboration, writing, creativity, language",Wikimedia Foundation,,,,https://www.alquds.edu/ar/student-activities-ar/142423-%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D9%83%D8%B1%D9%91%D9%85-%D8%B7%D9%84%D8%A8%D8%A9-%D9%85%D9%86-%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D9%82%D8%AF%D8%B3-%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D8%B9%D9%85%D9%84%D9%87%D9%85-%D9%81%D9%8A%D9%87%D8%A7.html,,,,,
,Wikipedia Education Program at An-Najah National University 2018,This edition was at Geogly course in the civil Engineering Dept. 13 students participated. 10 articles were expanded/created.,1/25/2018,10/2/2018,An-Najah National University,Wikimedia Levant,Western Asia,Palestine,Mohammad Hijjawi,Editor Training,Wikipedia,"Students, Teachers",Higher Education,Mother language,Geoglogy,"collaboration, writing, creativity, language",Wikimedia Foundation,,,,,,,,,
,Wikipedia School for adults in Athens,"Wikipedians Nursery for adults (Adult Education) in Kaisariani, Athens",5/15/2014,11/30/2018,"Municipality of Kaisariani, 2nd Gymnasium of Kaisariani",Wikipedia Community Schools Association Greece,Southern Europe,Greece,Manos Kefalas,"WikiClub, Editor Training","Wikipedia, Wikimedia Commons, Wikidata","Teachers, Senior Citizens, Wikimedians, Librarians",Lifelong learning,"Mother language, Inclusion",Personal interests of editors,"collaboration, writing, critical thinking, language",Wikimedia Foundation,"https://meta.wikimedia.org/wiki/Grants:PEG/Manos_Kefalas/Wikipedia_School_in_Athens,_Greece/Report","It was the first educational holistic approach that integrated editing Wikipedia with self-improvement as human beings, which reaches farther than knowledge and skills and aims at building positive life stances and attitudes.",no,https://www.news247.gr/weekend-edition/mpikame-sto-proto-elliniko-scholeio-tis-wikipedia.6406698.html,,,,,
,Wikipedia School for adults in Athens,"Wikipedians Nursery for adults (Adult Education) in Kaisariani, Athens",5/15/2014,11/30/2018,"Municipality of Kaisariani, 2nd Gymnasium of Kaisariani",Wikipedia Community Schools Association Greece,Southern Europe,Greece,Manos Kefalas,"WikiClub, Editor Training","Wikipedia, Wikimedia Commons, Wikidata","Teachers, Senior Citizens, Wikimedians, Librarians",Lifelong learning,"Mother language, Inclusion",Personal interests of editors,"collaboration, writing, critical thinking, language",Wikimedia Foundation,"https://meta.wikimedia.org/wiki/Grants:PEG/Manos_Kefalas/Wikipedia_School_in_Athens,_Greece/Report","It was the first educational holistic approach that integrated editing Wikipedia with self-improvement as human beings, which reaches farther than knowledge and skills and aims at building positive life stances and attitudes.",no,https://www.news247.gr/weekend-edition/mpikame-sto-proto-elliniko-scholeio-tis-wikipedia.6406698.html,,,,,
,OLES2129 Writing for the Digital World,"This is a unit of study. It constitutes a full for credit course that can be counted as a type of elective known as an Open Learning Environment (OLE) unit of study which can be counted towards any liberal studies degree at the University of Sydney, Australia. Students in liberal studies degrees must take 12 credit points of OLE units, and this unit is worth 6cp (so half of those requirements). Students are taught the rules, guidelines and policies that govern Wikipedia editing, making use of the formal Wikipedia Training Modules with supplementary live instruction. They then complete a number of proofeading, and editing activities to show what they have learned and eventually select topics from requested article lists. They then find sources, submit proposals to write on a topic, backed up by annotated bibliographies. They write on the topics in their sandboxes until they have enough verifiable information to write up a draft. They continue to develop their draft, adding media, etc with the aim of submitting the draft for the mainspace. ",8/1/2018,11/6/2018,The University of Sydney,n/a,Australia and New Zealand,Australia,Frances Di Lauro,Editor Training,"Wikipedia, Wikimedia Commons","Students, Teachers",Higher Education,"Education policy, Gender, OERs, Inclusion, Reduced inequalities, ","Math, Science, Literature, Art, Photography, History, Language, Writing","collaboration, digital literacy, communication, global citizenship, writing, critical thinking, information literacy, creativity, research, language, research, public (encyclopedic) writing, problem solving, developing an ethical personal and professional identity","the Strategic Educational Grant Scheme, Deputy Vice Chancellor (Education), the University of Sydney","Yes, the project was supported by a competitive grant, and the project lead and members received a prize from the Open University of Hong Kong",no,no,no,,,,,
,OLES2129 Writing for the Digital World (2019),"This is a unit of study. It constitutes a full for credit course that can be counted as a type of elective known as an Open Learning Environment (OLE) unit of study which can be counted towards any liberal studies degree at the University of Sydney, Australia. Students in liberal studies degrees must take 12 credit points of OLE units, and this unit is worth 6cp (so half of those requirements). Students are taught the rules, guidelines and policies that govern Wikipedia editing, making use of the formal Wikipedia Training Modules with supplementary live instruction. They then complete a number of proofeading, and editing activities to show what they have learned and eventually select topics from requested article lists. They then find sources, submit proposals to write on a topic, backed up by annotated bibliographies. They write on the topics in their sandboxes until they have enough verifiable information to write up a draft. They continue to develop their draft, adding media, etc with the aim of submitting the draft for the mainspace. ",2/27/2019,6/6/2019,The University of Sydney,n/a,Australia and New Zealand,Australia,Frances Di Lauro,"Editor Training, Teacher Training","Wikipedia, Wikimedia Commons","Students, Teachers",Higher Education,"Education policy, Gender, OERs, Inclusion, Reduced inequalities","Math, Science, Literature, Art, Photography, History, Language, Writing (Public and Encyclopedic) Communication","collaboration, digital literacy, communication, global citizenship, writing, critical thinking, information literacy, creativity, research, language, problem solving, cultivating an ethical personal and professional identity","a Strategic Education Grant from the Deputy Vice Chancellor (Education), the University of Sydney","Yes, this was a competitive grant process, the project also received a prize from the Open University of Hong Kong",no,No,No,,,,,
,Wikipedia Education programs of hebron 2018,"In this type of program, we gain a new editors and  taught how to edit on Wikipedia, introduce the encyclopedia and the Wikimedia Foundation, enrich Arab content on Wikipedia, teach them other projects such as meta, data, and commons, and how to upload free images on the Wikimedia Commons website.",11/1/2018,1/15/2019,"Mohammad Hijjawi, Naem Zalloum",Wikimedia Levant,Western Asia,"Hebron, palestine",Baraa Zamara,"Editor Training, Teacher Training, Research, Translation, Partnerships, Photo expeditions","Wikipedia, Commons","Students, Teachers, Senior Citizens, Wikimedians, Librarians","Primary (K-5), Secondary (Middle or High School), Higher Education, Vocational, Lifelong learning","Mother language, Education policy, Gender, Inclusion, Human Rights","Math, Science, Literature, Art, Photography, History, Language","collaboration, communication, global citizenship, writing, critical thinking, information literacy, creativity, research, language",Wikimedia Foundation,https://meta.wikimedia.org/wiki/Grants:Project/Rapid/UG_LEV/Winter_2018-2019_Education_Program_in_Palestine/Report,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC_%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7_%D9%84%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85/%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9_%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D9%84_2018,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A7%D9%84%D8%B7%D9%84%D8%A7%D8%A8_%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%83%D9%88%D9%86_%D9%81%D9%8A_%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC_%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7_%D9%84%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85/%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D9%84,"just on facebook, instugram",,,,,
,wikipedia education program of hebron 2019,"In this type of program, new editors are taught how to edit on Wikipedia, introduce the encyclopedia and the Wikimedia Foundation, enrich Arab content on Wikipedia, teach them other projects such as meta, data, and commons, and how to upload free images on the Wikimedia Commons website.",7/16/2019,9/12/2019,"Mohammad Hijjawi, Sami Jabari, Nagham Jamjoum, Aseel zamara",wikimedia Levant,Western Asia,"hebron, palestine",Baraa zamara and Sami Jabari,"Editor Training, Teacher Training, Research, Translation, Partnerships, Photo expeditions","wikipedia, wikimedia commons","Students, Teachers, Senior Citizens, Wikimedians, Librarians","Primary (K-5), Secondary (Middle or High School), Higher Education, Vocational, Lifelong learning","Mother language, Education policy, Gender, Inclusion, Human Rights","Math, Science, Literature, Art, Photography, History, Language","collaboration, digital literacy, communication, global citizenship, writing, critical thinking, information literacy, creativity, research, language",Wikimedia Foundation,no,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A8%D8%B1%D8%A7%D9%85%D8%AC_%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7_%D9%84%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85/%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9_%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D9%84_2019,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A7%D9%84%D8%B7%D9%84%D8%A7%D8%A8_%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%83%D9%88%D9%86_%D9%81%D9%8A_%D8%A7%D9%84%D9%86%D8%B3%D8%AE%D8%A9_%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9_%D9%85%D9%86_%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC_%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7_%D9%84%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85/%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D9%84,Facebook and instagram,,,,,
,Schools program in Italy,"Courses for students about how to contribute to Wikimedia projects (8 hours to 100 hours, 10-20 hours on average). The key is: wikimedia projects can be valid educational tools to improve key competences and basic skills required by Italian school (information literarcy, digital skills, collaboration, learning to learn, citizenship) and can be used for working on every different school subject. Different project can be used according to different student ages. ",1/1/2006,12/31/2019,many different italian schools,Wikimedia Italia,Southern Europe,Italy,Giovanna Ranci,Editor Training,"Wikipedia, Commons. Wikibooks, Wikivoyage, Wikiversity, Wikisource, Wikidata",Students,"Primary (K-5), Secondary (Middle or High School)","Gender, Inclusion, Human Rights","Math, Science, Literature, Art, History, Language","collaboration, digital literacy, global citizenship, critical thinking, information literacy, language",None,,https://it.wikipedia.org/wiki/Progetto:Coordinamento/Scuole/Liceo_classico_Potenza,only on italian WMI newsletter,https://it.wikipedia.org/wiki/Progetto:Coordinamento/Scuole; many post on https://www.wikimedia.it/blog/; https://wiki.wikimedia.it/wiki/Associazione:Didattica/Scuola,,,,,
,Teacher Training in Italy,Training teachers of primary and secondary schools  to  use Wikimedia projects and OpenStreetMap as a teaching tool in their classrooms (3 different courses of 20 hours each). These training courses are approved by thec,10/1/2019,6/1/2020,Training teachers of primary and secondary schools  to  use Wikimedia projects and OpenStreetMap as a teaching tool in their classrooms (3 different courses of 20 hours each). These training courses are approved by theItalian Ministry of Education and Research. ,Wikimedia Italia,Southern Europe,Italy,Giovanna Ranci,Teacher Training,"Wikipedia, Commons, Wikibooks, Wikivoyage, Wikiversity, Wikisource",Teachers,"Primary (K-5), Secondary (Middle or High School)",OERs,"Math, Science, Literature, Art, Photography, History, Language","collaboration, digital literacy, global citizenship, critical thinking, information literacy",None,,https://it.wikipedia.org/wiki/Progetto:Coordinamento/Scuole/Corso_di_formazione_docenti_(Potenza),in WMIT newsletter,https://www.wikimedia.it/formazione-docenti/; https://www.wikimedia.it/blog/,,,,,
